timestamp	loadavg	memory	temperature	processes
2026-08-02T00:47:54+08:00	5.09 3.67 2.26 2/1745 344134	MemTotal:=16018340 MemAvailable:=4624780 	thermal_zone0=55968 thermal_zone1=54031 thermal_zone2=54437 thermal_zone3=54687 thermal_zone4=54218 thermal_zone5=55218 thermal_zone6=55593 thermal_zone7=54531 thermal_zone8=55812 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.8 139384; 342010 controller_serv 10.3 48064; 342025 bt_navigator     9.3 38240;
2026-08-02T00:47:55+08:00	5.09 3.67 2.26 3/1745 344170	MemTotal:=16018340 MemAvailable:=4621300 	thermal_zone0=55531 thermal_zone1=53937 thermal_zone2=54218 thermal_zone3=54562 thermal_zone4=54125 thermal_zone5=55093 thermal_zone6=55468 thermal_zone7=54531 thermal_zone8=55625 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.8 139388; 342010 controller_serv 10.4 48064; 342025 bt_navigator     9.4 38240;
2026-08-02T00:47:56+08:00	5.09 3.67 2.26 9/1747 344224	MemTotal:=16018340 MemAvailable:=4611220 	thermal_zone0=55687 thermal_zone1=54406 thermal_zone2=54500 thermal_zone3=54687 thermal_zone4=54218 thermal_zone5=55093 thermal_zone6=55593 thermal_zone7=54500 thermal_zone8=55781 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.8 139392; 342010 controller_serv 10.5 48064; 342025 bt_navigator     9.4 38240;
2026-08-02T00:47:57+08:00	5.09 3.67 2.26 4/1744 344280	MemTotal:=16018340 MemAvailable:=4616964 	thermal_zone0=55718 thermal_zone1=54125 thermal_zone2=54593 thermal_zone3=54593 thermal_zone4=54250 thermal_zone5=55093 thermal_zone6=55468 thermal_zone7=54687 thermal_zone8=55750 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.8 139396; 342010 controller_serv 10.7 48064; 342025 bt_navigator     9.5 38240;
2026-08-02T00:47:58+08:00	5.16 3.71 2.28 4/1744 344316	MemTotal:=16018340 MemAvailable:=4611728 	thermal_zone0=55750 thermal_zone1=54062 thermal_zone2=54593 thermal_zone3=54625 thermal_zone4=54187 thermal_zone5=55156 thermal_zone6=55531 thermal_zone7=54687 thermal_zone8=55843 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   5.9 139400; 342010 controller_serv 10.8 48064; 342025 bt_navigator     9.6 38240;
2026-08-02T00:47:59+08:00	5.16 3.71 2.28 4/1745 344353	MemTotal:=16018340 MemAvailable:=4607756 	thermal_zone0=55593 thermal_zone1=54406 thermal_zone2=54468 thermal_zone3=54687 thermal_zone4=54406 thermal_zone5=55093 thermal_zone6=55437 thermal_zone7=54593 thermal_zone8=55968 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   5.9 139404; 342010 controller_serv 10.9 48064; 342025 bt_navigator     9.7 38240;
2026-08-02T00:48:01+08:00	5.16 3.71 2.28 2/1748 344407	MemTotal:=16018340 MemAvailable:=4605236 	thermal_zone0=55656 thermal_zone1=54156 thermal_zone2=54562 thermal_zone3=54562 thermal_zone4=54250 thermal_zone5=55062 thermal_zone6=55406 thermal_zone7=54500 thermal_zone8=55593 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   5.9 139412; 342010 controller_serv 11.1 48064; 342025 bt_navigator     9.7 38240;
2026-08-02T00:48:02+08:00	5.16 3.71 2.28 2/1745 344463	MemTotal:=16018340 MemAvailable:=4599952 	thermal_zone0=55812 thermal_zone1=54562 thermal_zone2=54531 thermal_zone3=54593 thermal_zone4=54187 thermal_zone5=55187 thermal_zone6=55500 thermal_zone7=54500 thermal_zone8=55687 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.9 139412; 342010 controller_serv 11.1 48064; 342025 bt_navigator     9.7 38240;
2026-08-02T00:48:03+08:00	4.99 3.70 2.28 3/1745 344499	MemTotal:=16018340 MemAvailable:=4596676 	thermal_zone0=55562 thermal_zone1=53968 thermal_zone2=54500 thermal_zone3=54593 thermal_zone4=54187 thermal_zone5=55218 thermal_zone6=55625 thermal_zone7=54437 thermal_zone8=55656 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.9 139416; 342010 controller_serv 11.2 48064; 342025 bt_navigator     9.8 38240;
2026-08-02T00:48:04+08:00	4.99 3.70 2.28 5/1753 344543	MemTotal:=16018340 MemAvailable:=4592400 	thermal_zone0=55437 thermal_zone1=54156 thermal_zone2=54343 thermal_zone3=54656 thermal_zone4=54375 thermal_zone5=55062 thermal_zone6=55343 thermal_zone7=54531 thermal_zone8=55843 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   5.9 139416; 342010 controller_serv 11.3 48064; 342025 bt_navigator     9.8 38240;
2026-08-02T00:48:05+08:00	4.99 3.70 2.28 16/1753 344579	MemTotal:=16018340 MemAvailable:=4588896 	thermal_zone0=55656 thermal_zone1=54000 thermal_zone2=54500 thermal_zone3=54562 thermal_zone4=54187 thermal_zone5=55031 thermal_zone6=55656 thermal_zone7=54593 thermal_zone8=55625 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   5.9 139420; 342010 controller_serv 11.4 48064; 342025 bt_navigator     9.9 38240;
2026-08-02T00:48:06+08:00	4.99 3.70 2.28 4/1763 344640	MemTotal:=16018340 MemAvailable:=4582360 	thermal_zone0=55843 thermal_zone1=53968 thermal_zone2=54531 thermal_zone3=54562 thermal_zone4=54187 thermal_zone5=55156 thermal_zone6=55562 thermal_zone7=54500 thermal_zone8=55812 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   6.0 139420; 342010 controller_serv 11.6 48064; 342025 bt_navigator    10.0 38240;
2026-08-02T00:48:07+08:00	4.99 3.70 2.28 9/1759 344696	MemTotal:=16018340 MemAvailable:=4579992 	thermal_zone0=55812 thermal_zone1=54031 thermal_zone2=54562 thermal_zone3=54562 thermal_zone4=54312 thermal_zone5=55062 thermal_zone6=55406 thermal_zone7=54500 thermal_zone8=55937 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   6.0 139428; 342010 controller_serv 11.7 48064; 342025 bt_navigator    10.0 38240;
2026-08-02T00:48:08+08:00	4.83 3.69 2.28 4/1759 344733	MemTotal:=16018340 MemAvailable:=4573712 	thermal_zone0=55625 thermal_zone1=54187 thermal_zone2=54625 thermal_zone3=54718 thermal_zone4=54281 thermal_zone5=55062 thermal_zone6=55562 thermal_zone7=54500 thermal_zone8=55687 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   6.0 139428; 342010 controller_serv 11.8 48064; 342025 bt_navigator    10.1 38240;
2026-08-02T00:48:10+08:00	4.83 3.69 2.28 4/1759 344769	MemTotal:=16018340 MemAvailable:=4569684 	thermal_zone0=55937 thermal_zone1=54031 thermal_zone2=54343 thermal_zone3=54656 thermal_zone4=54312 thermal_zone5=55031 thermal_zone6=55468 thermal_zone7=54500 thermal_zone8=55750 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.3 60296; 342008 planner_server   6.0 139432; 342010 controller_serv 11.9 48064; 342025 bt_navigator    10.2 38240;
2026-08-02T00:48:11+08:00	4.83 3.69 2.28 4/1760 344822	MemTotal:=16018340 MemAvailable:=4566420 	thermal_zone0=55718 thermal_zone1=54062 thermal_zone2=54531 thermal_zone3=54656 thermal_zone4=54187 thermal_zone5=55312 thermal_zone6=55562 thermal_zone7=54406 thermal_zone8=55750 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   6.0 139432; 342010 controller_serv 11.8 48428; 342025 bt_navigator    10.1 36728;
2026-08-02T00:48:12+08:00	4.83 3.69 2.28 3/1757 344877	MemTotal:=16018340 MemAvailable:=4558364 	thermal_zone0=55593 thermal_zone1=54062 thermal_zone2=54437 thermal_zone3=54437 thermal_zone4=54218 thermal_zone5=55062 thermal_zone6=55468 thermal_zone7=54437 thermal_zone8=55875 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   6.0 139432; 342010 controller_serv 11.8 48428; 342025 bt_navigator    10.1 36728;
2026-08-02T00:48:13+08:00	4.52 3.64 2.28 3/1757 344912	MemTotal:=16018340 MemAvailable:=4554588 	thermal_zone0=55531 thermal_zone1=54062 thermal_zone2=54562 thermal_zone3=54468 thermal_zone4=54187 thermal_zone5=55156 thermal_zone6=55593 thermal_zone7=54437 thermal_zone8=55843 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   6.0 139432; 342010 controller_serv 11.8 48428; 342025 bt_navigator    10.1 36728;
2026-08-02T00:48:14+08:00	4.52 3.64 2.28 2/1748 344947	MemTotal:=16018340 MemAvailable:=4679768 	thermal_zone0=55843 thermal_zone1=54406 thermal_zone2=54406 thermal_zone3=54687 thermal_zone4=54218 thermal_zone5=55000 thermal_zone6=55437 thermal_zone7=54500 thermal_zone8=55812 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.2 60296; 342008 planner_server   6.0 139432; 342010 controller_serv 11.7 48428; 342025 bt_navigator    10.1 36728;
